"Date","oil price","RUB CBRF Curncy","PPIAC ","CPIAC(USA)","CPIAC(RF)","oil_price_priv","curcy_priv","curcy_t-1","Δ(curcy_t-1)","oil_price_t-1","Δ(oil_price_t)"
"02.01.2007","59.80","26.3311","166.8","204.226","231.1","59.8","26.3311","","","",""
"03.01.2007","57.18","26.3311","166.8","204.226","231.1","57.18","26.3311","26.3311","","59.8","-2.62"
"04.01.2007","55.20","26.3311","166.8","204.226","231.1","55.2","26.3311","26.3311","0","57.18","-1.98"
"05.01.2007","55.19","26.3311","166.8","204.226","231.1","55.19","26.3311","26.3311","0","55.2","-0.010000000000005"
"06.01.2007","55.19","26.3311","166.8","204.226","231.1","55.19","26.3311","26.3311","0","55.19","0"
"07.01.2007","55.19","26.3311","166.8","204.226","231.1","55.19","26.3311","26.3311","0","55.19","0"
"08.01.2007","54.75","26.3311","166.8","204.226","231.1","54.75","26.3311","26.3311","0","55.19","-0.44"
"09.01.2007","54.81","26.4465","166.8","204.226","231.1","54.81","26.4465","26.3311","0","54.75","0.060000000000002"
"10.01.2007","53.11","26.4898","166.8","204.226","231.1","53.11","26.4898","26.4465","0.1154","54.81","-1.7"
"11.01.2007","51.45","26.5320","166.8","204.226","231.1","51.45","26.532","26.4898","0.043299999999999","53.11","-1.66"
"12.01.2007","52.38","26.5770","166.8","204.226","231.1","52.38","26.577","26.532","0.042200000000001","51.45","0.93"
"13.01.2007","52.38","26.5770","166.8","204.226","231.1","52.38","26.577","26.577","0.045000000000002","52.38","0"
"14.01.2007","52.38","26.5770","166.8","204.226","231.1","52.38","26.577","26.577","0","52.38","0"
"15.01.2007","52.36","26.5645","166.8","204.226","231.1","52.36","26.5645","26.577","0","52.38","-0.020000000000003"
"16.01.2007","51.31","26.5481","166.8","204.226","231.1","51.31","26.5481","26.5645","-0.012500000000003","52.36","-1.05"
"17.01.2007","52.39","26.5646","166.8","204.226","231.1","52.39","26.5646","26.5481","-0.016399999999997","51.31","1.08"
"18.01.2007","51.53","26.5343","166.8","204.226","231.1","51.53","26.5343","26.5646","0.016499999999997","52.39","-0.85999999999999"
"19.01.2007","53.29","26.5075","166.8","204.226","231.1","53.29","26.5075","26.5343","-0.03029999999999","51.53","1.76"
"20.01.2007","53.29","26.5075","166.8","204.226","231.1","53.29","26.5075","26.5075","-0.026800000000009","53.29","0"
"21.01.2007","53.29","26.5075","166.8","204.226","231.1","53.29","26.5075","26.5075","0","53.29","0"
"22.01.2007","52.71","26.5214","166.8","204.226","231.1","52.71","26.5214","26.5075","0","53.29","-0.58"
"23.01.2007","55.04","26.5240","166.8","204.226","231.1","55.04","26.524","26.5214","0.0139","52.71","2.33"
"24.01.2007","55.57","26.4879","166.8","204.226","231.1","55.57","26.4879","26.524","0.002600000000001","55.04","0.53"
"25.01.2007","54.24","26.5018","166.8","204.226","231.1","54.24","26.5018","26.4879","-0.036100000000001","55.57","-1.33"
"26.01.2007","55.32","26.5575","166.8","204.226","231.1","55.32","26.5575","26.5018","0.0139","54.24","1.08"
"27.01.2007","55.32","26.5575","166.8","204.226","231.1","55.32","26.5575","26.5575","0.055700000000002","55.32","0"
"28.01.2007","55.32","26.5575","166.8","204.226","231.1","55.32","26.5575","26.5575","0","55.32","0"
"29.01.2007","53.65","26.5747","166.8","204.226","231.1","53.65","26.5747","26.5575","0","55.32","-1.67"
"30.01.2007","56.11","26.5331","166.8","204.226","231.1","56.11","26.5331","26.5747","0.017199999999999","53.65","2.46"
"31.01.2007","57.21","26.5484","166.8","204.226","231.1","57.21","26.5484","26.5331","-0.041599999999999","56.11","1.1"
"01.02.2007","56.46","26.4882","166.8","204.226","231.1","56.46","26.4882","26.5484","0.0153","57.21","-0.75"
"02.02.2007","58.34","26.4800","166.8","204.226","231.1","58.34","26.48","26.4882","-0.060200000000002","56.46","1.88"
"03.02.2007","58.34","26.4800","166.8","204.226","231.1","58.34","26.48","26.48","-0.0081999999999987","58.34","0"
"04.02.2007","58.34","26.4800","166.8","204.226","231.1","58.34","26.48","26.48","0","58.34","0"
"05.02.2007","57.02","26.5288","166.8","204.226","231.1","57.02","26.5288","26.48","0","58.34","-1.32"
"06.02.2007","57.70","26.5543","166.8","204.226","231.1","57.7","26.5543","26.5288","0.0488","57.02","0.68"
"07.02.2007","56.68","26.5040","166.8","204.226","231.1","56.68","26.504","26.5543","0.025500000000001","57.7","-1.02"
"08.02.2007","58.25","26.3945","166.8","204.226","231.1","58.25","26.3945","26.504","-0.0503","56.68","1.57"
"09.02.2007","58.03","26.3473","166.8","204.226","231.1","58.03","26.3473","26.3945","-0.1095","58.25","-0.22"
"10.02.2007","58.03","26.3473","166.8","204.226","231.1","58.03","26.3473","26.3473","-0.0472","58.03","0"
"11.02.2007","58.03","26.3473","166.8","204.226","231.1","58.03","26.3473","26.3473","0","58.03","0"
"12.02.2007","55.09","26.3414","166.8","204.226","231.1","55.09","26.3414","26.3473","0","58.03","-2.94"
"13.02.2007","56.85","26.3759","166.8","204.226","231.1","56.85","26.3759","26.3414","-0.0059000000000005","55.09","1.76"
"14.02.2007","55.56","26.3060","166.8","204.226","231.1","55.56","26.306","26.3759","0.034500000000008","56.85","-1.29"
"15.02.2007","55.93","26.2314","166.8","204.226","231.1","55.93","26.2314","26.306","-0.069900000000008","55.56","0.36999999999999"
"16.02.2007","57.44","26.2358","169.3","205.288","232.5","58.300911270983","26.258190266974","26.2314","-0.0746","55.93","2.3709112709832"
"17.02.2007","57.44","26.2358","169.3","205.288","232.5","58.300911270983","26.258190266974","26.258190266974","0.02679026697426","58.300911270983","0"
"18.02.2007","57.44","26.2358","169.3","205.288","232.5","58.300911270983","26.258190266974","26.258190266974","0","58.300911270983","0"
"19.02.2007","56.72","26.2131","169.3","205.288","232.5","57.570119904077","26.235470894245","26.258190266974","0","58.300911270983","-0.73079136690647"
"20.02.2007","56.67","26.1964","169.3","205.288","232.5","57.519370503597","26.21875664206","26.235470894245","-0.02271937272964","57.570119904077","-0.050749400479603"
"21.02.2007","58.12","26.1967","169.3","205.288","232.5","58.991103117506","26.219056898088","26.21875664206","-0.016714252184361","57.519370503597","1.4717326139089"
"22.02.2007","59.65","26.2474","169.3","205.288","232.5","60.544034772182","26.269800166695","26.219056898088","0.00030025602725914","58.991103117506","1.5529316546763"
"23.02.2007","59.94","26.2474","169.3","205.288","232.5","60.838381294964","26.269800166695","26.269800166695","0.050743268607611","60.544034772182","0.29434652278177"
"24.02.2007","59.94","26.2474","169.3","205.288","232.5","60.838381294964","26.269800166695","26.269800166695","0","60.838381294964","0"
"25.02.2007","59.94","26.2474","169.3","205.288","232.5","60.838381294964","26.269800166695","26.269800166695","0","60.838381294964","0"
"26.02.2007","59.95","26.1730","169.3","205.288","232.5","60.84853117506","26.195336671934","26.269800166695","0","60.838381294964","0.010149880095931"
"27.02.2007","60.11","26.1599","169.3","205.288","232.5","61.010929256595","26.182225492076","26.195336671934","-0.07446349476146","60.84853117506","0.16239808153477"
"28.02.2007","60.66","26.1481","169.3","205.288","232.5","61.569172661871","26.170415421671","26.182225492076","-0.013111179857191","61.010929256595","0.55824340527577"
"01.03.2007","61.07","26.1366","169.3","205.288","232.5","61.985317745803","26.158905607292","26.170415421671","-0.011810070405719","61.569172661871","0.41614508393285"
"02.03.2007","61.65","26.1740","169.3","205.288","232.5","62.574010791367","26.196337525358","26.158905607292","-0.01150981437846","61.985317745803","0.58869304556356"
"03.03.2007","61.65","26.1740","169.3","205.288","232.5","62.574010791367","26.196337525358","26.196337525358","0.037431918065579","62.574010791367","0"
"04.03.2007","61.65","26.1740","169.3","205.288","232.5","62.574010791367","26.196337525358","26.196337525358","0","62.574010791367","0"
"05.03.2007","60.11","26.2147","169.3","205.288","232.5","61.010929256595","26.237072259723","26.196337525358","0","62.574010791367","-1.5630815347722"
"06.03.2007","60.55","26.2432","169.3","205.288","232.5","61.457523980815","26.265596582313","26.237072259723","0.040734734365479","61.010929256595","0.44659472422062"
