dim cycles time ss nl issol
18 17 0.000373833 9 9 1
18 19 0.000349084 9 9 1
18 14 0.000271792 9 9 1
18 18 0.000339167 9 9 1
18 13 0.000249458 9 9 1
18 15 0.000272042 9 9 1
18 13 0.00024825 9 9 1
192 99 0.0296389 48 48 1
192 149 0.0362028 48 48 1
192 90 0.0221455 48 48 1
192 128 0.0316015 48 48 1
192 130 0.0318724 48 48 1
192 97 0.0238193 48 48 1
192 118 0.0293773 48 48 1
192 181 0.0448379 48 48 1
192 237 0.0576867 48 48 1
192 198 0.0487119 48 48 1
192 238 0.0602636 48 48 1
192 110 0.0277235 48 48 1
192 176 0.0439299 48 48 1
192 312 0.0772103 48 48 1
192 238 0.0580497 48 48 1
192 188 0.0464366 48 48 1
192 86 0.0213543 48 48 1
192 135 0.033541 48 48 1
192 161 0.0391208 48 48 1
192 105 0.042729 64 64 1
192 116 0.0434472 64 64 1
192 117 0.0428866 64 64 1
192 163 0.0612325 64 64 1
192 82 0.0298801 64 64 1
320 373 0.197608 80 80 1
320 324 0.172784 80 80 1
320 159 0.0856045 80 80 1
320 144 0.0795925 80 80 1
320 283 0.153157 80 80 1
320 100 0.0544755 80 80 1
320 213 0.11473 80 80 1
320 405 0.245659 80 80 1
320 141 0.0771209 80 80 1
320 179 0.0964729 80 80 1
320 259 0.140776 80 80 1
320 197 0.0868852 64 64 1
320 385 0.151425 64 64 1
320 221 0.0889225 64 64 1
320 272 0.110254 64 64 1
480 709 0.546176 96 96 1
480 187 0.142356 96 96 1
480 318 0.256271 96 96 1
480 552 0.402381 96 96 1
480 449 0.336944 96 96 1
480 171 0.142308 96 96 1
480 458 0.339687 96 96 1
480 355 0.261913 96 96 1
480 311 0.311401 120 120 1
480 500 0.502233 120 120 1
480 317 0.316039 120 120 1
480 251 0.253349 120 120 1
480 299 0.323278 120 120 1
480 170 0.182632 120 120 1
480 188 0.209791 120 120 1
480 171 0.183552 120 120 1
480 428 0.455894 120 120 1
480 201 0.204043 120 120 1
480 216 0.221592 120 120 1
480 194 0.210102 120 120 1
750 545 0.829878 150 150 1
750 502 0.754618 150 150 1
750 1459 2.17962 150 150 1
750 1927 2.85219 150 150 1
750 403 0.631119 150 150 1
750 1205 1.82213 150 150 1
750 539 0.811739 150 150 1
750 865 1.29325 150 150 1
750 623 0.959841 150 150 1
750 844 1.26772 150 150 1
750 642 0.954559 150 150 1
750 1256 1.91844 150 150 1
750 340 0.645935 150 150 1
750 711 1.33534 150 150 1
750 470 0.901952 150 150 1
750 323 0.650134 150 150 1
750 232 0.44905 150 150 1
750 260 1.01927 250 250 1
750 145 0.543641 250 250 1
750 269 1.00193 250 250 1
750 235 0.872001 250 250 1
750 174 0.639689 250 250 1
1000 5993 4.00085 203 200 0
1000 2586 1.76078 215 200 0
1000 2943 2.02163 210 200 0
1000 1286 0.927979 242 200 0
1000 6154 4.14475 204 200 0
1000 2530 1.74888 202 200 0
1000 730 0.495488 200 200 1
1000 5910 3.99767 203 200 0
1000 6777 4.62079 210 200 0
1000 4376 2.94812 201 200 0
1000 646 0.438953 200 200 1
1000 1277 0.869255 200 200 1
1000 1392 0.988516 214 200 0
1000 5047 3.87341 209 200 0
1000 1236 0.84993 211 200 0
1000 3686 2.48444 201 200 0
1000 813 0.563995 209 200 0
1000 2495 1.6651 211 200 0
1000 1866 1.25045 204 200 0
1000 2542 1.69137 211 200 0
1000 4153 2.74627 204 200 0
1000 3736 2.50804 208 200 0
1000 613 0.420128 200 200 1
1000 2071 1.39172 219 200 0
1000 5294 3.56509 209 200 0
1000 725 0.510054 200 200 1
1000 4715 3.23649 211 200 0
1000 2324 1.60655 202 200 0
1000 3476 2.39959 201 200 0
2000 4628 8.47381 438 400 0
2000 1774 3.25255 445 400 0
2000 1008 1.85096 439 400 0
2000 2106 3.86027 450 400 0
2000 1304 2.49142 432 400 0
2000 2742 5.07973 435 400 0
2000 1281 2.37895 412 400 0
2000 3773 7.62775 408 400 0
2000 1975 3.71759 421 400 0
2000 750 1.39978 400 400 1
2000 2875 5.21419 426 400 0
2000 5071 9.19756 402 400 0
2000 1438 2.63942 409 400 0
2000 2427 4.40279 412 400 0
2000 3997 7.2699 407 400 0
2000 5589 10.0425 417 400 0
2000 595 1.09548 400 400 1
2000 6763 12.1922 432 400 0
2000 5690 10.3837 421 400 0
2000 3937 7.09368 417 400 0
2000 3061 5.56553 414 400 0
2000 2662 4.94073 415 400 0
2000 1278 2.30013 400 400 1
2000 2457 4.49946 475 400 0
2000 4630 8.36865 426 400 0
2000 8770 15.6729 406 400 0
2000 5158 9.28517 469 400 0
2000 4323 7.84503 409 400 0
2000 2700 4.89923 427 400 0
2000 6917 12.5345 425 400 0
2000 4905 8.92357 413 400 0
2000 1254 2.26164 402 400 0
2000 3716 6.7635 459 400 0
2000 3218 5.79966 413 400 0
3000 3183 8.5046 357 300 0
3000 4082 10.7518 399 300 0
3000 3816 10.049 374 300 0
3000 4565 12.0478 452 300 0
3000 5842 15.3875 379 300 0
3000 4497 11.9145 434 300 0
3000 4059 10.7802 376 300 0
3000 3120 8.29597 397 300 0
3000 3039 8.07882 397 300 0
3000 3314 9.03058 380 300 0
3000 6014 15.923 376 300 0
3000 4838 12.8141 355 300 0
3000 3558 9.39997 374 300 0
3000 4338 11.5712 404 300 0
3000 3340 8.9606 388 300 0
3000 4594 12.2001 346 300 0
3000 3289 8.7005 348 300 0
3000 3846 10.1808 364 300 0
3000 4128 11.0057 373 300 0
3000 5657 15.1512 382 300 0
3000 4230 11.2142 366 300 0
3000 3952 10.4539 372 300 0
3000 3896 10.2557 420 300 0
3000 2989 7.90861 379 300 0
3000 2803 7.41068 330 300 0
3000 4103 10.8509 445 300 0
3000 3000 8.04913 392 300 0
5000 5978 32.8433 585 500 0
5000 6582 35.9615 627 500 0
5000 4868 26.566 694 500 0
5000 5940 32.7389 603 500 0
5000 6994 38.5386 574 500 0
5000 11048 60.4971 683 500 0
5000 5596 30.5285 599 500 0
5000 13370 72.7372 602 500 0
5000 5169 28.4073 697 500 0
5000 3904 21.2701 689 500 0
5000 6974 37.9665 625 500 0
5000 8018 43.8202 572 500 0
5000 4862 26.5397 616 500 0
5000 4165 23.3415 576 500 0
5000 6440 35.0683 650 500 0
5000 6092 33.3986 582 500 0
5000 7848 43.4583 547 500 0
5000 3255 18.0055 600 500 0
5000 2608 14.4804 621 500 0
5000 7401 40.7545 579 500 0
5000 6223 34.021 638 500 0
5000 9426 51.9554 594 500 0
5000 5241 28.8157 602 500 0
5000 6829 37.5608 611 500 0
5000 5466 29.8265 611 500 0
5000 6936 38.1969 623 500 0
5000 7102 38.796 595 500 0
5000 4729 26.2366 581 500 0
7000 8729 77.9348 854 700 0
7000 2862 25.3561 857 700 0
7000 7602 68.1712 831 700 0
7000 10515 93.2983 783 700 0
7000 4419 39.2229 812 700 0
7000 11459 102.371 892 700 0
7000 3919 35.2195 791 700 0
7000 3876 34.694 815 700 0
7000 3290 29.5216 788 700 0
7000 3892 34.5504 911 700 0
7000 4370 39.2516 917 700 0
7000 5045 49.0692 901 700 0
7000 8960 80.7025 882 700 0
7000 3239 29.0741 861 700 0
7000 12965 116.042 821 700 0
7000 8154 73.4706 830 700 0
7000 4469 39.8765 826 700 0
7000 3924 35.5483 805 700 0
7000 4408 41.7394 863 700 0
7000 4729 42.1695 863 700 0
7000 5457 50.2434 938 700 0
7000 9226 82.6867 866 700 0
7000 4639 42.7757 810 700 0
7000 6568 59.1569 830 700 0
7000 9674 88.417 838 700 0
7000 9175 83.5378 811 700 0
7000 8605 78.7875 852 700 0
7000 4166 38.1401 838 700 0
7000 2645 24.1518 835 700 0
7000 7203 65.8708 860 700 0
10000 8648 136.416 1149 1000 0
10000 7733 122.023 1151 1000 0
